"state","freq","state_code","mean_dur"
"alabama",831,"AL",347570.537568306
"alaska",382,"AK",383919.796511628
"arizona",2847,"AZ",605052.618138425
"arkansas",679,"AR",1620302.84517304
"california",8819,"CA",404287.381283152
"colorado",1965,"CO",467303.401408451
"connecticut",546,"CT",364124.214912281
"delaware",256,"DE",526700.991341991
"florida",5151,"FL",535404.473468937
"georgia",1770,"GA",390068.321850394
"hawaii",352,"HI",436069.372611465
"idaho",920,"ID",427193.96437659
"illinois",2567,"IL",406248.273011618
"indiana",1569,"IN",392616.575260208
"iowa",791,"IA",435548.941176471
"kansas",719,"KS",431722.713622291
"kentucky",987,"KY",392900.805361305
"louisiana",680,"LA",379925.019543974
"maine",181,"ME",326844.779141104
"maryland",1066,"MD",401756.077639752
"massachusetts",739,"MA",389578.898484848
"michigan",1963,"MI",430571.589108911
"minnesota",1310,"MN",358729.365449915
"mississippi",455,"MS",427046.237597911
"missouri",1662,"MO",460922.159138291
"montana",653,"MT",303985.914721724
"nebraska",428,"NE",416311.12924282
"nevada",949,"NV",373119.98463357
"new hampshire",266,"NH",362821.060538117
"new jersey",987,"NJ",413067.287246722
"new mexico",996,"NM",316181.396571429
"new york",1999,"NY",427104.05384184
"north carolina",2311,"NC",402323.392857143
"north dakota",175,"ND",423692.853146853
"ohio",2680,"OH",419865.355652174
"oklahoma",914,"OK",459153.28820698
"oregon",2076,"OR",442808.256959315
"pennsylvania",2717,"PA",394884.967561983
"rhode island",191,"RI",326258.612716763
"south carolina",1537,"SC",419419.035688274
"south dakota",249,"SD",428818.637554585
"tennessee",1328,"TN",395000.333756345
"texas",3460,"TX",415119.445351549
"utah",929,"UT",2132922.44312796
"vermont",118,"VT",610864.770642202
"virginia",1544,"VA",465364.679477612
"washington",3893,"WA",454966.820721769
"west virginia",490,"WV",444573.576309795
"wisconsin",1483,"WI",416715.077868852
"wyoming",215,"WY",373444.755434783
NA,10,"DC",529391.25
